0000035 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361513 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6400080908) size: 30
0000036 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361517 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000037 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361520 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000038 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361524 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000039 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361527 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x64000804c8) block: 1
0000040 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361531 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000041 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361534 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6400080928) size: 30
0000042 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361537 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000043 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361540 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000044 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361543 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000045 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361546 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x64000804c8) block: 2
0000046 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361550 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000047 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361553 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6400080948) size: 30
0000048 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361557 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000049 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361560 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000050 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361563 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000051 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361604 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000052 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361607 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000053 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361611 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000054 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361614 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000055 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.361618 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 50 extent: (2, 1) 0x7ef53c0c04c8
0000056 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362168 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000057 | T.0x00007f12884ec700 | 2019-06-21, 02:20:34.362174 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x64000c04c8) block: 0
