0000034 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679091 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000035 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679094 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000036 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679097 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (3, 2) 0x7f48381004c8
0000037 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679100 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2001004c8) size: 303090
0000038 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679104 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 305040
0000039 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679107 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 305040 ig: 0
0000040 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679110 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 305040
0000041 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679114 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000042 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679117 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000043 | T.0x00007fc7a51f1700 | 2019-06-21, 02:23:10.679121 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (5, 2) 0x7f48381804c8
