0000001 | T.0x00007f2ec8999700 | 2019-06-21, 02:20:16.381554 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f2ec8999700 | 2019-06-21, 02:20:16.382434 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f2ec8999700 | 2019-06-21, 02:20:16.397716 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7ead74000000 size: 549755813888 addr_range: 0x7ead74000000--7f2d74000000
0000005 | T.0x00007f2ec8999700 | 2019-06-21, 02:20:16.397786 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f2ec8999700 | 2019-06-21, 02:20:17.248409 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.248422 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000008 | T.0x00007f2ec0cf9700 | 2019-06-21, 02:20:17.248431 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000010 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.248471 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000009 | T.0x00007f2ec8999700 | 2019-06-21, 02:20:17.248469 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000011 | T.0x00007f2ec0cf9700 | 2019-06-21, 02:20:17.248477 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000012 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.248759 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000014 | T.0x00007f2ec0cf9700 | 2019-06-21, 02:20:17.248763 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000013 | T.0x00007f2ec8999700 | 2019-06-21, 02:20:17.248760 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000015 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.248780 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000016 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.248787 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000017 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.248796 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.249055 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7ef174000400
0000019 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.249065 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 34
0000020 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.250693 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000021 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.250721 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 34
0000022 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.250728 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 34
0000023 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.252235 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000024 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.252250 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000025 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.252255 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 34 extent: (0, 1) 0x7ef1740404c8
0000026 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.252302 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000027 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.252321 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x44000404c8) block: 0
0000028 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.252327 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000029 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.252336 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4400040548) size: 412
0000030 | T.0x00007f2ec0cf9700 | 2019-06-21, 02:20:17.252341 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x44000404c8) block: 1
0000031 | T.0x00007f2ec0cf9700 | 2019-06-21, 02:20:17.252348 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000032 | T.0x00007f2ec0cf9700 | 2019-06-21, 02:20:17.252354 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x44000406e8) size: 412
0000033 | T.0x00007f2ec8999700 | 2019-06-21, 02:20:17.252358 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x44000404c8) block: 2
0000034 | T.0x00007f2ec0ffc700 | 2019-06-21, 02:20:17.252364 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000035 | T.0x00007f2ec8999700 | 2019-06-21, 02:20:17.252365 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000036 | T.0x00007f2ec0cf9700 | 2019-06-21, 02:20:17.252366 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
