0000034 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.222942 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000035 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.222952 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000036 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.222962 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000037 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.222971 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000038 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.222981 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000039 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223000 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000040 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223009 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 2 extent: (1, 1) 0x7ef7ac0804c8
0000041 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223220 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000042 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223228 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4000804c8) block: 0
0000043 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223238 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000044 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223246 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x400080908) size: 30
0000045 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223250 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4000804c8) block: 1
0000046 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223252 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000047 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223257 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000048 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223268 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000049 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223277 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x400080928) size: 30
0000050 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223288 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000051 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223297 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000052 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223401 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000053 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223409 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000054 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223415 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000055 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223423 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000056 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223433 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000057 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223453 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000058 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223462 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 2 extent: (2, 1) 0x7ef7ac0c04c8
0000059 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223667 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000060 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223676 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4000c04c8) block: 0
0000061 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223684 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000062 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223694 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4000c0708) size: 60
0000063 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223697 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4000804c8) block: 2
0000064 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223704 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000065 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223712 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000066 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223723 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000067 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223731 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x400080948) size: 30
0000068 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223739 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000069 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223750 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000070 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223759 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4000804c8) block: 3
0000071 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223764 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000072 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223774 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000073 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223779 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000074 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223789 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x400080968) size: 30
0000075 | T.0x00007f7502ffe700 | 2019-06-21, 02:19:49.223798 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4000804c8) block: 4
0000076 | T.0x00007f74f8ffc700 | 2019-06-21, 02:19:49.223807 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
