0000034 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.455432 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.455438 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1c00042508) size: 4012
0000036 | T.0x00007f7b495d5700 | 2019-06-21, 02:23:11.456172 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000037 | T.0x00007f7b495d5700 | 2019-06-21, 02:23:11.456203 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000038 | T.0x00007f7b495d5700 | 2019-06-21, 02:23:11.456210 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000039 | T.0x00007f7b495d5700 | 2019-06-21, 02:23:11.456216 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x1c000404c8) block: 3
0000040 | T.0x00007f7b495d5700 | 2019-06-21, 02:23:11.456222 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000041 | T.0x00007f7b495d5700 | 2019-06-21, 02:23:11.456225 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1c00043508) size: 4012
0000042 | T.0x00007f7a4f5f5700 | 2019-06-21, 02:23:11.458417 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000043 | T.0x00007f7a4f5f5700 | 2019-06-21, 02:23:11.458444 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000044 | T.0x00007f7a4f5f5700 | 2019-06-21, 02:23:11.458449 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000045 | T.0x00007f7a4f5f5700 | 2019-06-21, 02:23:11.458455 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x1c000404c8) block: 4
0000046 | T.0x00007f7a4f5f5700 | 2019-06-21, 02:23:11.458461 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000047 | T.0x00007f7a4f5f5700 | 2019-06-21, 02:23:11.458466 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1c00044508) size: 4012
0000048 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463733 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 298080
0000049 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463762 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 298080 ig: 0
0000050 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463818 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 298080
0000051 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463826 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000052 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463834 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000053 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463842 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 14 extent: (1, 2) 0x7f15440804c8
0000054 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463847 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1c000804c8) size: 298080
0000055 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463854 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 294180
0000057 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463857 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 294180 ig: 0
0000058 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463861 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 294180
0000056 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.463856 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 301290
0000060 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.463879 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 301290 ig: 0
0000059 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463865 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000061 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.463886 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 301290
0000062 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463890 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000063 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463895 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 14 extent: (3, 2) 0x7f15441004c8
0000064 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463901 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1c001004c8) size: 294180
0000065 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.463903 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000066 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463906 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 298020
0000067 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.463913 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000068 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463914 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 298020 ig: 0
0000069 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.463924 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 14 extent: (5, 2) 0x7f15441804c8
0000070 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463927 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 298020
0000071 | T.0x00007f7cc0fef700 | 2019-06-21, 02:23:11.463937 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1c001804c8) size: 301290
0000072 | T.0x00007f7a4f4f4700 | 2019-06-21, 02:23:11.463940 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
