0000034 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331320 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000035 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331321 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000036 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331330 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000037 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331338 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000038 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331345 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000039 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331352 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000040 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331366 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 42 extent: (1, 1) 0x7ef4280804c8
0000041 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331558 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000042 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331563 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000804c8) block: 0
0000043 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331567 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000044 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331573 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5400080708) size: 60
0000045 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331578 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000046 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331581 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000048 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.331585 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000047 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331583 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000049 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331603 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000050 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331615 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000051 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331699 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000052 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.331714 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 42 extent: (2, 1) 0x7ef4280c04c8
0000053 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332233 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000054 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332250 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000c04c8) block: 0
0000055 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332265 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000057 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332282 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000c04c8) block: 1
0000056 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332281 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x54000c0908) size: 30
0000058 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332287 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000059 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332297 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000060 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332300 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x54000c0928) size: 30
0000061 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332312 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000062 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332316 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000063 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332327 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000064 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332330 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000066 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332345 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000065 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332344 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000c04c8) block: 2
0000067 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332355 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000069 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332371 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000c04c8) block: 3
0000068 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332370 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x54000c0948) size: 30
0000070 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332377 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000071 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332386 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000072 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332388 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x54000c0968) size: 30
0000073 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332400 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000074 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332404 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000075 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332417 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000076 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332419 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000078 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332434 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000077 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332432 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000c04c8) block: 4
0000079 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332445 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000080 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332460 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x54000c0988) size: 30
0000081 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332462 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000c04c8) block: 5
0000082 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332475 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000083 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332478 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000084 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332491 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000085 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332494 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x54000c09a8) size: 30
0000086 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332509 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000087 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332511 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000089 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332525 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000088 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332524 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000c04c8) block: 6
0000090 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332529 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000091 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332538 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000092 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332550 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x54000c09c8) size: 30
0000093 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332552 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x54000c04c8) block: 7
0000094 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332566 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000095 | T.0x00007f205e7fa700 | 2019-06-21, 02:20:34.332568 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000096 | T.0x00007f203d8ed700 | 2019-06-21, 02:20:34.332580 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
