0000026 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.221811 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000027 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.221816 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000028 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.221820 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000029 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.221824 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000030 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.221827 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000031 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.221831 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (1, 1) 0x7f33f00804c8
0000032 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222079 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000033 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222084 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000804c8) block: 0
0000034 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222088 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222092 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x200080908) size: 30
0000036 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222096 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000037 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222100 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000038 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222103 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000039 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222106 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000040 | T.0x00007fb338df1700 | 2019-06-21, 02:19:49.222110 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
