0000001 | T.0x00007f41081f4700 | 2019-06-21, 02:21:50.540452 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f41081f4700 | 2019-06-21, 02:21:50.541164 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f41081f4700 | 2019-06-21, 02:21:50.557425 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7ebfac000000 size: 549755813888 addr_range: 0x7ebfac000000--7f3fac000000
0000005 | T.0x00007f41081f4700 | 2019-06-21, 02:21:50.557459 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.345484 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.345535 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.345783 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.345796 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.345801 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.345806 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.346251 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f3dac000400
0000013 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.346262 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 63
0000014 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.348042 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.348072 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 63
0000016 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.348077 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 63
0000017 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.349570 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.349589 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.349592 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 63 extent: (0, 1) 0x7f3dac0404c8
0000020 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.349606 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.349616 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x7e000404c8) block: 0
0000022 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.349622 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.349627 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x7e00040508) size: 4012
0000024 | T.0x00007f41085f8700 | 2019-06-21, 02:21:52.353638 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000025 | T.0x00007f41085f8700 | 2019-06-21, 02:21:52.353708 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000026 | T.0x00007f41085f8700 | 2019-06-21, 02:21:52.353714 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000027 | T.0x00007f41085f8700 | 2019-06-21, 02:21:52.353728 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x7e000404c8) block: 1
0000028 | T.0x00007f41085f8700 | 2019-06-21, 02:21:52.353733 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000029 | T.0x00007f41085f8700 | 2019-06-21, 02:21:52.353737 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x7e00041508) size: 4012
0000030 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.357494 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 299130
0000031 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.357527 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 299130 ig: 0
0000032 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.357532 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 299130
0000033 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.357537 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000034 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.357544 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000035 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.357551 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 63 extent: (1, 2) 0x7f3dac0804c8
0000036 | T.0x00007f41084f7700 | 2019-06-21, 02:21:52.357557 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x7e000804c8) size: 299130
