0000034 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.276882 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000035 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.276887 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000036 | T.0x00007f0764bfa700 | 2019-06-21, 02:20:17.276889 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000037 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.276896 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000038 | T.0x00007f0764bfa700 | 2019-06-21, 02:20:17.276915 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000039 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.276930 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 35 extent: (1, 1) 0x7ecc180804c8
0000040 | T.0x00007f0764bfa700 | 2019-06-21, 02:20:17.276952 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000041 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.277215 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000042 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.277231 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x46000804c8) block: 0
0000043 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.277236 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000044 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.277245 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4600080908) size: 30
