0000034 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.335708 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000035 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.335712 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000036 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.335714 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000037 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.335717 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000038 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.335725 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000039 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.335736 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 46 extent: (1, 1) 0x7efbf40804c8
0000040 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.335744 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000041 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.335994 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000042 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336004 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x5c000804c8) block: 0
0000043 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336008 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000044 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336014 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c00080908) size: 30
0000045 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336019 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000046 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336022 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x5c000804c8) block: 1
0000047 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336025 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000048 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336037 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000049 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336046 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000050 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336054 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5c00080928) size: 30
0000051 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336065 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x5c000804c8) block: 2
0000052 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336112 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000053 | T.0x00007f214cbfa700 | 2019-06-21, 02:20:34.336122 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000054 | T.0x00007f2145ffd700 | 2019-06-21, 02:20:34.336131 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
