0000035 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.258846 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000036 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.258852 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000037 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.258858 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000038 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.258866 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000039 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.258888 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000040 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.258893 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 7 extent: (1, 1) 0x7f00fc0804c8
0000041 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259030 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000042 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259038 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0xe000804c8) block: 0
0000043 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259047 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000044 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259054 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xe00080908) size: 30
0000045 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259057 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0xe000804c8) block: 1
0000046 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259066 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000047 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259071 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000048 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259076 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000049 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259087 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xe00080928) size: 30
0000050 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259099 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000051 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259109 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000052 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259154 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0xe000804c8) block: 2
0000053 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259165 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000054 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259175 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000055 | T.0x00007f74387ed700 | 2019-06-21, 02:19:49.259181 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000056 | T.0x00007f74309ed700 | 2019-06-21, 02:19:49.259190 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xe00080948) size: 30
