0000001 | T.0x00007f6031ffd700 | 2019-06-21, 02:27:08.245364 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f6031ffd700 | 2019-06-21, 02:27:08.246062 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f6031ffd700 | 2019-06-21, 02:27:08.254799 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7edee16ad000 size: 549755813888 addr_range: 0x7edee16ad000--7f5ee16ad000
0000005 | T.0x00007f6031ffd700 | 2019-06-21, 02:27:08.254901 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.612428 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.612503 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.612775 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.612789 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.612795 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.612800 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.615288 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f3ce16ad400
0000013 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.615312 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 47
0000014 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.622213 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.622245 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 47
0000016 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.622256 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 47
0000017 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.624273 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.624293 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.624301 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 47 extent: (0, 1) 0x7f3ce16ed4c8
0000020 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.624320 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.624334 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x5e000404c8) block: 0
0000022 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.624348 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007f6031dfb700 | 2019-06-21, 02:27:10.624359 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5e00040508) size: 4012
0000024 | T.0x00007f6031cfa700 | 2019-06-21, 02:27:10.628284 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000025 | T.0x00007f6031cfa700 | 2019-06-21, 02:27:10.628345 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000026 | T.0x00007f6031cfa700 | 2019-06-21, 02:27:10.628351 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000027 | T.0x00007f6031cfa700 | 2019-06-21, 02:27:10.628361 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x5e000404c8) block: 1
0000028 | T.0x00007f6031cfa700 | 2019-06-21, 02:27:10.628368 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000029 | T.0x00007f6031cfa700 | 2019-06-21, 02:27:10.628372 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5e00041508) size: 4012
