0000035 | T.0x00007f6ca3dfd700 | 2019-09-12, 02:18:22.437317 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000033 | T.0x00007f6de84e8700 | 2019-09-12, 02:18:22.437310 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000404c8) block: 2
0000036 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437319 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000038 | T.0x00007f6de84e8700 | 2019-09-12, 02:18:22.437329 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000037 | T.0x00007f6ca3dfd700 | 2019-09-12, 02:18:22.437324 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000039 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437333 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000040 | T.0x00007f6de84e8700 | 2019-09-12, 02:18:22.437335 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x200040888) size: 412
0000042 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437339 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000041 | T.0x00007f6ca3dfd700 | 2019-09-12, 02:18:22.437337 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000043 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437343 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000044 | T.0x00007f6de84e8700 | 2019-09-12, 02:18:22.437347 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000045 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437348 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000046 | T.0x00007f6de84e8700 | 2019-09-12, 02:18:22.437353 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000047 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437358 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000048 | T.0x00007f6de84e8700 | 2019-09-12, 02:18:22.437363 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000049 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437368 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (1, 1) 0x7e6e6b6044c8
0000050 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437591 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000051 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437637 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2000804c8) block: 0
0000052 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437641 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000053 | T.0x00007f6ca3efe700 | 2019-09-12, 02:18:22.437646 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x200080908) size: 30
