0000034 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267101 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267108 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x1200080908) size: 30
0000036 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267116 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000037 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267122 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000038 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267128 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000039 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267134 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000040 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267140 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000041 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267146 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000042 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267153 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000043 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267160 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 9 extent: (2, 1) 0x7ef1840c04c8
0000044 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267386 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000045 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267402 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x12000c04c8) block: 0
0000046 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267410 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000047 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267416 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x12000c0708) size: 60
0000048 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267423 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000049 | T.0x00007f5fba9fa700 | 2019-06-21, 02:19:49.267429 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
