0000034 | T.0x00007fe8345f4700 | 2019-06-21, 02:16:21.803074 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007fe8345f4700 | 2019-06-21, 02:16:21.803081 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2600041508) size: 4012
0000036 | T.0x00007fe8346f5700 | 2019-06-21, 02:16:21.803086 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x26000404c8) block: 2
0000037 | T.0x00007fe8346f5700 | 2019-06-21, 02:16:21.803096 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000038 | T.0x00007fe8346f5700 | 2019-06-21, 02:16:21.803105 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2600042508) size: 4012
0000039 | T.0x00007fe82ffff700 | 2019-06-21, 02:16:21.803110 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x26000404c8) block: 3
0000040 | T.0x00007fe82ffff700 | 2019-06-21, 02:16:21.803118 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000041 | T.0x00007fe82ffff700 | 2019-06-21, 02:16:21.803123 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2600043508) size: 4012
0000042 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811338 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 298320
0000043 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811367 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 298320 ig: 0
0000044 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811373 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 298320
0000045 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811381 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000046 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811390 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000047 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811399 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 19 extent: (1, 2) 0x7f8cd80804c8
0000048 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811406 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x26000804c8) size: 298320
0000049 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811415 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 303630
0000050 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811474 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 303630 ig: 0
0000051 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811478 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 303630
0000052 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811481 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000053 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811485 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000054 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811488 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 19 extent: (3, 2) 0x7f8cd81004c8
0000055 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811492 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x26001004c8) size: 303630
0000056 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811495 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 302700
0000057 | T.0x00007fe8342f1700 | 2019-06-21, 02:16:21.811498 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 302700 ig: 0
