0000034 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319759 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000035 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319766 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000036 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319773 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 2 extent: (3, 2) 0x7ed78b9d94c8
0000037 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319780 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4001004c8) size: 280890
0000038 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319786 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 334890
0000039 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319790 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 334890 ig: 0
0000040 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319795 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 334890
0000041 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319802 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000042 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319807 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000043 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319814 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 2 extent: (5, 2) 0x7ed78ba594c8
0000044 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319820 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4001804c8) size: 334890
0000045 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319828 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 247560
0000046 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319832 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 247560 ig: 0
0000047 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319838 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 247560
0000048 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319844 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000049 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319849 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (8, 32758)
0000050 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319855 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 2 extent: (7, 1) 0x7ed78bad94c8
0000051 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319945 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4002004c8) size: 247560
0000052 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319953 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 347730
0000053 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319959 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 347730 ig: 0
0000054 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319964 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 347730
0000055 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319971 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000056 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319978 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (10, 32756)
0000057 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319984 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 2 extent: (8, 2) 0x7ed78bb194c8
0000058 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319992 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4002404c8) size: 347730
0000059 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.319996 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 373620
0000060 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320001 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 373620 ig: 0
0000061 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320009 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 373620
0000062 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320014 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000063 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320023 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (12, 32754)
0000064 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320033 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 2 extent: (10, 2) 0x7ed78bb994c8
0000065 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320040 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4002c04c8) size: 373620
0000066 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320047 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 264630
0000067 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320054 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 264630 ig: 0
0000068 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320063 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 264630
0000069 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320068 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000070 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320075 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (14, 32752)
0000071 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320084 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 2 extent: (12, 2) 0x7ed78bc194c8
0000072 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320090 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4003404c8) size: 264630
0000073 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320096 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 335700
0000074 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320103 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 335700 ig: 0
