0000001 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.373233 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.374024 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.382924 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7ee6516b4000 size: 549755813888 addr_range: 0x7ee6516b4000--7f66516b4000
0000005 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.382950 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.703447 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000007 | T.0x00007f6788af9700 | 2019-06-21, 02:20:16.703457 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 412
0000008 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.703491 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000009 | T.0x00007f6788af9700 | 2019-06-21, 02:20:16.703494 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 412 ig: 0
0000011 | T.0x00007f6788af9700 | 2019-06-21, 02:20:16.703698 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000010 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.703697 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 412
0000012 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.703713 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000013 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.703718 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000014 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.703724 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000015 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.703878 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f0c516b4400
0000016 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.703886 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 19
0000017 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.705624 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000018 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.705642 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 19
0000019 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.705647 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 19
0000020 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707182 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000021 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707194 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000022 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707198 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 19 extent: (0, 1) 0x7f0c516f44c8
0000023 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707225 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000024 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707236 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x26000404c8) block: 0
0000025 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707242 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000026 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707249 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2600040548) size: 412
0000027 | T.0x00007f6788af9700 | 2019-06-21, 02:20:16.707254 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x26000404c8) block: 1
0000028 | T.0x00007f6788af9700 | 2019-06-21, 02:20:16.707263 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000029 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707268 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000030 | T.0x00007f6788af9700 | 2019-06-21, 02:20:16.707269 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x26000406e8) size: 412
0000031 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707275 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000032 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707286 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000033 | T.0x00007f6788af9700 | 2019-06-21, 02:20:16.707287 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000034 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707293 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000035 | T.0x00007f6788af9700 | 2019-06-21, 02:20:16.707299 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000036 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707302 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000037 | T.0x00007f6788af9700 | 2019-06-21, 02:20:16.707304 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000038 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707308 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000039 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707312 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000040 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707317 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 19 extent: (1, 1) 0x7f0c517344c8
0000041 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707539 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000042 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707544 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x26000804c8) block: 0
0000043 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707549 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000044 | T.0x00007f67919f9700 | 2019-06-21, 02:20:16.707554 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2600080908) size: 30
0000045 | T.0x00007f6788af9700 | 2019-06-21, 02:20:16.707557 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x26000804c8) block: 1
