0000034 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738364 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000035 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738367 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000036 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738371 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 12 extent: (3, 2) 0x7f8c6c1004c8
0000037 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738375 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x18001004c8) size: 271740
0000038 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738378 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 333720
0000039 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738381 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 333720 ig: 0
0000040 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738384 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 333720
0000041 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738387 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000042 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738391 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000043 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738394 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 12 extent: (5, 2) 0x7f8c6c1804c8
0000044 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738398 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x18001804c8) size: 333720
0000045 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738402 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 246210
0000046 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738405 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 246210 ig: 0
0000047 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738408 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 246210
0000048 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738411 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000049 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738414 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (8, 32758)
0000050 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738420 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 12 extent: (7, 1) 0x7f8c6c2004c8
0000051 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738476 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x18002004c8) size: 246210
0000052 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738480 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 346920
0000053 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738483 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 346920 ig: 0
0000054 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738486 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 346920
0000055 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738490 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000056 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738493 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (10, 32756)
0000057 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738496 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 12 extent: (8, 2) 0x7f8c6c2404c8
0000058 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738500 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x18002404c8) size: 346920
0000059 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738503 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 370110
0000060 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738507 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 370110 ig: 0
0000061 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738510 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 370110
0000062 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738513 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000063 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738516 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (12, 32754)
0000064 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738520 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 12 extent: (10, 2) 0x7f8c6c2c04c8
0000065 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738523 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x18002c04c8) size: 370110
0000066 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738527 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 265530
0000067 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738530 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 265530 ig: 0
0000068 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738534 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 265530
0000069 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738537 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000070 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738540 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (14, 32752)
