0000034 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.123658 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.123663 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xe00042508) size: 4012
0000036 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.131923 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 209454
0000037 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.131948 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 209454 ig: 0
0000038 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.131953 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 209454
0000039 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.131962 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000040 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.131968 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000041 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.131976 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 7 extent: (1, 1) 0x7e8acc0804c8
0000042 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.131982 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xe000804c8) size: 209454
0000043 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.131990 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 212583
0000044 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.131993 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 212583 ig: 0
0000045 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.131996 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 212583
0000046 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.132008 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000048 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.132011 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000047 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.132008 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 211092
0000049 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.132015 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 7 extent: (2, 1) 0x7e8acc0c04c8
0000050 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.132025 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 211092 ig: 0
0000051 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.132030 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xe000c04c8) size: 212583
0000052 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.132081 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 211092
0000053 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.132084 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 209538
0000054 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.132086 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000055 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.132089 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 209538 ig: 0
0000056 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.132093 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 209538
0000057 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.132095 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (4, 32762)
0000058 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.132101 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 7 extent: (3, 1) 0x7e8acc1004c8
0000059 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.132110 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xe001004c8) size: 211092
0000060 | T.0x00007efe407f6700 | 2019-06-21, 01:50:07.132112 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000061 | T.0x00007efe40bfa700 | 2019-06-21, 01:50:07.132116 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 212751
