0000034 | T.0x00007f60866f5700 | 2019-06-21, 02:27:10.426494 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007f60866f5700 | 2019-06-21, 02:27:10.426499 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4e00042508) size: 4012
0000036 | T.0x00007f60867f6700 | 2019-06-21, 02:27:10.426793 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000037 | T.0x00007f60867f6700 | 2019-06-21, 02:27:10.426840 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000038 | T.0x00007f60867f6700 | 2019-06-21, 02:27:10.426849 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000039 | T.0x00007f60867f6700 | 2019-06-21, 02:27:10.426859 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4e000404c8) block: 3
0000040 | T.0x00007f60867f6700 | 2019-06-21, 02:27:10.426868 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000041 | T.0x00007f60867f6700 | 2019-06-21, 02:27:10.426875 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4e00043508) size: 4012
0000042 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430523 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 342600
0000043 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430566 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 342600 ig: 0
0000044 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430573 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 342600
0000045 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430582 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000046 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430591 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000047 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430598 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 39 extent: (1, 2) 0x7f2d300804c8
0000048 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430604 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4e000804c8) size: 342600
0000049 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430612 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 280440
0000050 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430676 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 280440 ig: 0
0000051 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430680 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 280440
0000052 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430683 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000053 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430687 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000054 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430690 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 39 extent: (3, 2) 0x7f2d301004c8
0000055 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430694 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4e001004c8) size: 280440
0000056 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430697 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 331200
0000057 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430700 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 331200 ig: 0
0000058 | T.0x00007f6086cfb700 | 2019-06-21, 02:27:10.430704 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 331200
