0000034 | T.0x00007f83da4f5700 | 2019-06-21, 10:07:37.099723 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007f83da4f5700 | 2019-06-21, 10:07:37.099728 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x800042508) size: 4012
0000036 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107785 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 301170
0000037 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107808 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 301170 ig: 0
0000038 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107813 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 301170
0000039 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107820 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000040 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107825 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000041 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107831 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 4 extent: (1, 2) 0x7f0acf5264c8
0000042 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107837 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x8000804c8) size: 301170
0000043 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107842 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 298260
0000044 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107845 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 298260 ig: 0
0000045 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107851 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 298260
0000046 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107855 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000047 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107858 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000048 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107869 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 4 extent: (3, 2) 0x7f0acf5a64c8
0000049 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107872 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x8001004c8) size: 298260
0000050 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107876 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 297030
0000051 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107911 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 297030 ig: 0
0000052 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107915 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 297030
0000053 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107919 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000054 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107922 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000055 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107926 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 4 extent: (5, 2) 0x7f0acf6264c8
0000056 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107930 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x8001804c8) size: 297030
0000057 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107933 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 306180
0000058 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107937 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 306180 ig: 0
0000059 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107940 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 306180
0000060 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107943 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000061 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107947 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (9, 32757)
0000062 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107950 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 4 extent: (7, 2) 0x7f0acf6a64c8
0000063 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107954 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x8002004c8) size: 306180
0000064 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107957 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 306390
0000065 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107961 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 306390 ig: 0
0000066 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107964 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 306390
0000067 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107967 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000068 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107970 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (11, 32755)
0000069 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107974 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 4 extent: (9, 2) 0x7f0acf7264c8
0000070 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107977 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x8002804c8) size: 306390
0000071 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.107981 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 300390
