0000001 | T.0x00007f13094f2700 | 2019-06-21, 02:36:33.433521 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f13094f2700 | 2019-06-21, 02:36:33.434014 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f13094f2700 | 2019-06-21, 02:36:33.448000 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7e91ba4a7000 size: 549755813888 addr_range: 0x7e91ba4a7000--7f11ba4a7000
0000005 | T.0x00007f13094f2700 | 2019-06-21, 02:36:33.448056 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.649148 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.649210 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.649478 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.649493 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.649499 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.649504 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.649826 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7e9fba4a7400
0000013 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.649839 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 7
0000014 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.656052 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.656074 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 7
0000016 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.656080 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 7
0000017 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.657594 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.657607 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.657613 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 7 extent: (0, 1) 0x7e9fba4e74c8
0000020 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.657626 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.657637 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0xe000404c8) block: 0
0000022 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.657643 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.657649 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xe00040508) size: 4012
0000024 | T.0x00007f1309cfa700 | 2019-06-21, 02:36:35.659144 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000025 | T.0x00007f1309cfa700 | 2019-06-21, 02:36:35.659178 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000026 | T.0x00007f1309cfa700 | 2019-06-21, 02:36:35.659184 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000027 | T.0x00007f1309cfa700 | 2019-06-21, 02:36:35.659199 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0xe000404c8) block: 1
0000028 | T.0x00007f1309cfa700 | 2019-06-21, 02:36:35.659205 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000029 | T.0x00007f1309cfa700 | 2019-06-21, 02:36:35.659208 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0xe00041508) size: 4012
0000030 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.666481 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 345870
0000031 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.666505 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 345870 ig: 0
0000032 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.666510 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 345870
0000033 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.666517 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000034 | T.0x00007f1309dfb700 | 2019-06-21, 02:36:35.666523 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
