0000034 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316843 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316852 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c00080908) size: 30
0000036 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316861 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000037 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316868 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000038 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316875 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000039 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316882 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000804c8) block: 1
0000040 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316888 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000041 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316894 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c00080928) size: 30
0000042 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316900 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000043 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316905 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000044 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316912 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000045 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316919 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000804c8) block: 2
0000046 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316924 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000047 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316929 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c00080948) size: 30
0000048 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316935 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000049 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316940 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000050 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.316947 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000051 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317023 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000804c8) block: 3
0000052 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317031 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000053 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317038 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c00080968) size: 30
0000054 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317044 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000055 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317050 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000056 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317055 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000057 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317064 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000804c8) block: 4
0000058 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317072 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000059 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317078 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c00080988) size: 30
0000060 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317084 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000061 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317093 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000062 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317100 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000063 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317105 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x4c000804c8) block: 5
0000064 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317111 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000065 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317116 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4c000809a8) size: 30
0000066 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317123 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000067 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317129 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000068 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317136 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000069 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317142 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000070 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317147 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000071 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317153 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000072 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317160 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000073 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317166 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 38 extent: (2, 1) 0x7f5e1c0c04c8
0000074 | T.0x00007f936a7fa700 | 2019-06-21, 02:20:34.317434 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
