0000034 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939108 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 207942
0000035 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939110 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 206934
0000036 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939118 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000037 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939126 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000038 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939136 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 1 extent: (1, 1) 0x7e857b7644c8
0000039 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939144 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2000804c8) size: 206934
0000040 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939146 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000041 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939153 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 214704
0000042 | T.0x00007f04beafb700 | 2019-06-21, 01:50:06.939153 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000043 | T.0x00007f04be8f9700 | 2019-06-21, 01:50:06.939159 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 214704 ig: 0
