0000034 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740306 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740309 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e00080908) size: 30
0000036 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740313 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000037 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740316 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000038 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740319 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000039 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740323 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000804c8) block: 1
0000040 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740326 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000041 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740329 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e00080928) size: 30
0000042 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740333 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000043 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740336 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000044 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740339 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000045 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740342 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000804c8) block: 2
0000046 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740345 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000047 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740349 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e00080948) size: 30
0000048 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740352 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000049 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740355 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000050 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740358 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000051 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740420 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000804c8) block: 3
0000052 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740423 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000053 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740427 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e00080968) size: 30
0000054 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740430 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000055 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740433 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000056 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740437 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000057 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740440 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000804c8) block: 4
0000058 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740443 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000059 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740446 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e00080988) size: 30
0000060 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740450 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000061 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740453 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000062 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740456 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000063 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740459 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000804c8) block: 5
0000064 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740463 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000065 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740466 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e000809a8) size: 30
0000066 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740469 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000067 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740472 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000068 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740475 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000069 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740479 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000070 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740482 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000071 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740485 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000072 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740488 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000073 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740492 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 23 extent: (2, 1) 0x7ef9080c04c8
0000074 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740733 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000075 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740739 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x2e000c04c8) block: 0
0000076 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740742 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000077 | T.0x00007f4c5cbfa700 | 2019-06-21, 02:20:16.740746 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2e000c0708) size: 60
