0000034 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326315 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000035 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.326321 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000036 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326326 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000037 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.326331 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000038 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326336 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000039 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326345 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (2, 32764)
0000040 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326350 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 41 extent: (1, 1) 0x7f5f440804c8
0000041 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326673 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000042 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326680 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000804c8) block: 0
0000043 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326684 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000044 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326690 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5200080908) size: 30
0000045 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.326692 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000804c8) block: 1
0000046 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326694 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000047 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.326698 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000048 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326700 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000049 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.326703 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5200080928) size: 30
0000050 | T.0x00007f8e911f5700 | 2019-06-21, 02:20:34.326705 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000051 | T.0x00007f8e910f4700 | 2019-06-21, 02:20:34.326709 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
