0000034 | T.0x00007fbf489ed700 | 2019-06-21, 02:15:07.496108 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007fbf489ed700 | 2019-06-21, 02:15:07.496113 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2000042508) size: 4012
0000036 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.497829 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 301920
0000037 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.497851 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 301920 ig: 0
0000038 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.497856 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 301920
0000039 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.497871 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000040 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.497881 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000041 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.497891 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 16 extent: (1, 2) 0x7f5dec0804c8
0000042 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.497900 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x20000804c8) size: 301920
0000043 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.497908 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 301620
0000044 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.497913 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 301620 ig: 0
0000045 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.497916 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 301620
0000046 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.497920 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000047 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.497923 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000048 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.497927 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 16 extent: (3, 2) 0x7f5dec1004c8
0000049 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.497930 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x20001004c8) size: 301620
0000050 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.498045 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 295590
0000051 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.498050 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 295590 ig: 0
0000052 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.498053 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 295590
0000053 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.498056 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000054 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.498059 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000055 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.498063 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 16 extent: (5, 2) 0x7f5dec1804c8
0000056 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.498067 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x20001804c8) size: 295590
0000057 | T.0x00007fbf48bef700 | 2019-06-21, 02:15:07.498071 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 301470
