0000034 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712259 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712263 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x2c00080708) size: 60
0000036 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712267 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000037 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712270 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000038 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712274 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000039 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712277 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000040 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712280 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000041 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712284 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000042 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712287 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000043 | T.0x00007f5d43bfd700 | 2019-06-21, 02:20:16.712290 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 22 extent: (2, 1) 0x7f07ec0c04c8
