0000034 | T.0x00007fde7b7f9700 | 2019-06-21, 02:17:20.928757 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000035 | T.0x00007fde7b7f9700 | 2019-06-21, 02:17:20.928763 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6800041508) size: 4012
0000036 | T.0x00007fde7b2f4700 | 2019-06-21, 02:17:20.928768 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x68000404c8) block: 2
0000037 | T.0x00007fde7b2f4700 | 2019-06-21, 02:17:20.928776 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000038 | T.0x00007fde7b2f4700 | 2019-06-21, 02:17:20.928783 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6800042508) size: 4012
0000039 | T.0x00007fde7b4f6700 | 2019-06-21, 02:17:20.928833 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x68000404c8) block: 3
0000040 | T.0x00007fde7b4f6700 | 2019-06-21, 02:17:20.928879 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000041 | T.0x00007fde7b4f6700 | 2019-06-21, 02:17:20.928886 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6800043508) size: 4012
0000042 | T.0x00007fde7bafc700 | 2019-06-21, 02:17:20.934498 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000043 | T.0x00007fde7bafc700 | 2019-06-21, 02:17:20.934546 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000044 | T.0x00007fde7bafc700 | 2019-06-21, 02:17:20.934551 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000045 | T.0x00007fde7bafc700 | 2019-06-21, 02:17:20.934562 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x68000404c8) block: 4
0000046 | T.0x00007fde7bafc700 | 2019-06-21, 02:17:20.934566 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000047 | T.0x00007fde7bafc700 | 2019-06-21, 02:17:20.934570 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6800044508) size: 4012
0000048 | T.0x00007fde7b9fb700 | 2019-06-21, 02:17:20.935545 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000049 | T.0x00007fde7b9fb700 | 2019-06-21, 02:17:20.935588 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000050 | T.0x00007fde7b9fb700 | 2019-06-21, 02:17:20.935649 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000051 | T.0x00007fde7b9fb700 | 2019-06-21, 02:17:20.935657 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x68000404c8) block: 5
0000052 | T.0x00007fde7b9fb700 | 2019-06-21, 02:17:20.935664 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000053 | T.0x00007fde7b9fb700 | 2019-06-21, 02:17:20.935667 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x6800045508) size: 4012
0000054 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936891 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 298860
0000055 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936918 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 298860 ig: 0
0000056 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936923 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 298860
0000057 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936931 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000058 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936939 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000059 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936951 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 52 extent: (1, 2) 0x7fc5140804c8
0000060 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936957 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x68000804c8) size: 298860
0000061 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936964 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 296490
0000062 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936967 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 296490 ig: 0
0000063 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936976 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 296490
0000064 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936980 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000065 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936983 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000066 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936986 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 52 extent: (3, 2) 0x7fc5141004c8
0000067 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936989 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x68001004c8) size: 296490
0000068 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936992 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 298680
0000069 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936995 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 298680 ig: 0
0000070 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.936999 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 298680
0000071 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937002 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000072 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937005 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000073 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937008 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 52 extent: (5, 2) 0x7fc5141804c8
0000074 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937012 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x68001804c8) size: 298680
0000075 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937016 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 298410
0000076 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937023 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 298410 ig: 0
0000077 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937027 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 298410
0000078 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937030 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000079 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937033 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (9, 32757)
0000080 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937036 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 52 extent: (7, 2) 0x7fc5142004c8
0000081 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937039 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x68002004c8) size: 298410
0000082 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937043 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 297360
0000083 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937046 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 297360 ig: 0
0000084 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937049 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 297360
0000085 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937052 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000086 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937055 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (11, 32755)
0000087 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937058 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 52 extent: (9, 2) 0x7fc5142804c8
0000088 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937064 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x68002804c8) size: 297360
0000089 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937068 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 301080
0000090 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937070 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 301080 ig: 0
0000091 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937073 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 301080
0000092 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937076 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000093 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937079 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (13, 32753)
0000094 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937083 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 52 extent: (11, 2) 0x7fc5143004c8
0000095 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937086 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x68003004c8) size: 301080
0000096 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937090 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 304590
0000097 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937093 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 304590 ig: 0
0000098 | T.0x00007fde7b5f7700 | 2019-06-21, 02:17:20.937097 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 304590
