0000001 | T.0x00007f84350f2700 | 2019-06-21, 02:27:08.201832 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 153) Open heap path: /lfs/spark_global0 
0000002 | T.0x00007f84350f2700 | 2019-06-21, 02:27:08.202724 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/lfs_region_file.cc, 64) Open LFS region file path: "/lfs/spark_global0" flags: O_RDWR
0000004 | T.0x00007f84350f2700 | 2019-06-21, 02:27:08.215289 [info] - (/home/ghosdebd/sparkle/alps/src/pegasus/segmap.cc, 39) map region  base_addr: 0x7f03e5adb000 size: 549755813888 addr_range: 0x7f03e5adb000--7f83e5adb000
0000005 | T.0x00007f84350f2700 | 2019-06-21, 02:27:08.215338 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 158) Opened heap path: /lfs/spark_global0  size: 549755813888
0000006 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.422988 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 4012
0000007 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.423060 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 4012 ig: 0
0000008 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.423347 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 4012
0000009 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.423357 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 30) acquire_slab
0000010 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.423362 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000011 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.423366 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000012 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.423665 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 40) NVZONE: 0x7f55e5adb400
0000013 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.423679 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 41) NVZONE: ID: 41
0000014 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.425431 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (0, 32766)
0000015 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.425447 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone_heap.hh, 153) Acquired zone: 41
0000016 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.425453 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.hh, 72) Enumerate zone: 41
0000017 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.426937 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000018 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.426948 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (1, 32765)
0000019 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.426953 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 41 extent: (0, 1) 0x7f55e5b1b4c8
0000020 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.426967 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000021 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.426975 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x52000404c8) block: 0
0000022 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.426981 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000023 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.426986 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x5200040508) size: 4012
0000024 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435425 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 341040
0000025 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435472 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 341040 ig: 0
0000026 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435478 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 341040
0000027 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435487 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000028 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435495 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000029 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435504 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 41 extent: (1, 2) 0x7f55e5b5b4c8
0000030 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435520 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x52000804c8) size: 341040
0000031 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435527 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 270360
0000032 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435531 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 270360 ig: 0
0000033 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435534 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 270360
0000034 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435538 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000035 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435542 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000036 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435545 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 41 extent: (3, 2) 0x7f55e5bdb4c8
0000037 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435548 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x52001004c8) size: 270360
0000038 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435551 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 330000
0000039 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435554 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 330000 ig: 0
0000040 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435557 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 330000
0000041 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435560 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000042 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435564 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000043 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435567 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 41 extent: (5, 2) 0x7f55e5c5b4c8
0000044 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435570 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x52001804c8) size: 330000
0000045 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435574 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 254190
0000046 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435577 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 254190 ig: 0
0000047 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435580 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 254190
0000048 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435584 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000049 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435587 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (8, 32758)
0000050 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435590 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 41 extent: (7, 1) 0x7f55e5cdb4c8
0000051 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435638 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x52002004c8) size: 254190
0000052 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435642 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 343650
0000053 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435645 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 343650 ig: 0
0000054 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435648 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 343650
0000055 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435651 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000056 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435655 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (10, 32756)
0000057 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435658 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 41 extent: (8, 2) 0x7f55e5d1b4c8
0000058 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435661 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x52002404c8) size: 343650
0000059 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435664 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 372690
0000060 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435667 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 372690 ig: 0
0000061 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435670 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 372690
0000062 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435674 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000063 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435677 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (12, 32754)
0000064 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435680 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 41 extent: (10, 2) 0x7f55e5d9b4c8
0000065 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435683 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x52002c04c8) size: 372690
0000066 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435687 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 263010
0000067 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435690 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 263010 ig: 0
0000068 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435694 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 263010
0000069 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435697 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000070 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435700 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (14, 32752)
0000071 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435703 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 41 extent: (12, 2) 0x7f55e5e1b4c8
0000072 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435706 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x52003404c8) size: 263010
0000073 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435710 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 335730
0000074 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435713 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 335730 ig: 0
0000075 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435716 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 335730
0000076 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435719 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000077 | T.0x00007f84352f4700 | 2019-06-21, 02:27:10.435722 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (16, 32750)
