0000034 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991576 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000035 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991579 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (5, 32761)
0000036 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991583 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 11 extent: (3, 2) 0x7f2fe81004c8
0000037 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991586 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x16001004c8) size: 274200
0000038 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991590 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 335220
0000039 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991594 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 335220 ig: 0
0000040 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991597 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 335220
0000041 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991600 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000042 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991604 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (7, 32759)
0000043 | T.0x00007f9a36dfc700 | 2019-06-21, 02:46:08.991607 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 11 extent: (5, 2) 0x7f2fe81804c8
